"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF","Disc"
"182",2010,"KOR","MYS","Malaysia","Rep. of Korea",8891.364861,"Rep. of Korea","Malaysia",6114.822571,0.312274024675187,2776.54229
"183",2010,"KOR","NZL","New Zealand","Rep. of Korea",1002.617495,"Rep. of Korea","New Zealand",918.464477,0.0839333229468532,84.153018
"184",2010,"KOR","PHL","Philippines","Rep. of Korea",4040.349055,"Rep. of Korea","Philippines",5837.982502,-0.444920333003258,-1797.633447
"185",2010,"KOR","RUS","Russian Federation","Rep. of Korea",7281.531772,"Rep. of Korea","Russian Federation",7759.836034,-0.0656873137379204,-478.304262
"186",2010,"KOR","SGP","Singapore","Rep. of Korea",18158.02196,"Rep. of Korea","Singapore",15244.19959,0.160470252564889,2913.82237
"187",2010,"KOR","THA","Thailand","Rep. of Korea",8056.528353,"Rep. of Korea","Thailand",6459.776005,0.198193598785688,1596.752348
"188",2010,"KOR","USA","USA","Rep. of Korea",50607.875656,"Rep. of Korea","USA",49991.458238,0.0121802666088972,616.417417999997
"189",2010,"KOR","VNM","Viet Nam","Rep. of Korea",9757.63079,"Rep. of Korea","Viet Nam",9652.073408,0.0108179315524193,105.557381999999
"190",2010,"LAO","AUS","Australia","Lao People's Dem. Rep.",2.004291,"Lao People's Dem. Rep.","Australia",278.987533,-138.195123362825,-276.983242
"191",2010,"LAO","CAN","Canada","Lao People's Dem. Rep.",7.868947,"Lao People's Dem. Rep.","Canada",4.272182,0.457083393750142,3.596765
"192",2010,"LAO","CHN","China","Lao People's Dem. Rep.",601.489848,"Lao People's Dem. Rep.","China",222.831797,0.629533569451034,378.658051
"193",2010,"LAO","HKG","China, Hong Kong SAR","Lao People's Dem. Rep.",3.422411,"Lao People's Dem. Rep.","China, Hong Kong SAR",7.836425,-1.28973814074347,-4.414014
"194",2010,"LAO","IDN","Indonesia","Lao People's Dem. Rep.",0.616099,"Lao People's Dem. Rep.","Indonesia",0.034944,0.943281842690866,0.581155
