"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF"
"182",2015,"KOR","MYS","Malaysia","Rep. of Korea",7967.929667,"Rep. of Korea","Malaysia",7735.292879,0.0291966417529374
"183",2015,"KOR","NZL","New Zealand","Rep. of Korea",1345.964428,"Rep. of Korea","New Zealand",1262.745643,0.0618283687657755
"184",2015,"KOR","PHL","Philippines","Rep. of Korea",4550.176637,"Rep. of Korea","Philippines",8317.925005,-0.828044418619347
"185",2015,"KOR","RUS","Russian Federation","Rep. of Korea",4532.320186,"Rep. of Korea","Russian Federation",4685.73213,-0.0338484347319235
"186",2015,"KOR","SGP","Singapore","Rep. of Korea",18313.898214,"Rep. of Korea","Singapore",15011.163913,0.180340322000656
"187",2015,"KOR","THA","Thailand","Rep. of Korea",7039.280257,"Rep. of Korea","Thailand",6361.610067,0.096269812432331
"188",2015,"KOR","USA","USA","Rep. of Korea",74045.67788,"Rep. of Korea","USA",70117.307228,0.0530533417273375
"189",2015,"KOR","VNM","Viet Nam","Rep. of Korea",27578.526015,"Rep. of Korea","Viet Nam",27770.750377,-0.00697007381378721
"190",2015,"LAO","AUS","Australia","Lao People's Dem. Rep.",2.817127,"Lao People's Dem. Rep.","Australia",3.365887,-0.1947941999065
"191",2015,"LAO","BRN","Brunei Darussalam","Lao People's Dem. Rep.",0.000242,"Lao People's Dem. Rep.","Brunei Darussalam",0.043,-176.685950413223
"192",2015,"LAO","CAN","Canada","Lao People's Dem. Rep.",18.58603,"Lao People's Dem. Rep.","Canada",14.375394,0.226548434496232
"193",2015,"LAO","CHN","China","Lao People's Dem. Rep.",1547.337273,"Lao People's Dem. Rep.","China",1039.450914,0.32823248548476
"194",2015,"LAO","HKG","China, Hong Kong SAR","Lao People's Dem. Rep.",8.689452,"Lao People's Dem. Rep.","China, Hong Kong SAR",3.182655,0.633733519674198
"195",2015,"LAO","IDN","Indonesia","Lao People's Dem. Rep.",0.809796,"Lao People's Dem. Rep.","Indonesia",0.23115,0.71455774046797
"196",2015,"LAO","IND","India","Lao People's Dem. Rep.",142.954574,"Lao People's Dem. Rep.","India",33.036536,0.768901861090503
"197",2015,"LAO","JPN","Japan","Lao People's Dem. Rep.",97.403297,"Lao People's Dem. Rep.","Japan",49.625048,0.490519833224947
"198",2015,"LAO","KHM","Cambodia","Lao People's Dem. Rep.",20.168842,"Lao People's Dem. Rep.","Cambodia",17.352383,0.139644060873698
"199",2015,"LAO","KOR","Rep. of Korea","Lao People's Dem. Rep.",28.418384,"Lao People's Dem. Rep.","Rep. of Korea",6.366273,0.77598047095148
